time,PC,PCabin,ceiling_t,altitude_out,velocity_out
0.0000000000000000e+00,1.0132500000000000e+05,0.0000000000000000e+00,2.8444460227272731e+02,0.0000000000000000e+00,1.0000000000000000e+01
2.0000000000000000e-02,1.0132423215782484e+05,1.0448415421113449e+05,2.8444460227272731e+02,2.3333333333333334e-01,1.0002380952380953e+01
4.0000000000000001e-02,1.0132346433286120e+05,1.0448415421113449e+05,2.8444460227272731e+02,4.6666666666666667e-01,1.0004761904761905e+01
5.9999999999999998e-02,1.0132269652510881e+05,1.0448415421113449e+05,2.8444460227272731e+02,6.9999999999999996e-01,1.0007142857142858e+01
8.0000000000000002e-02,1.0132192873456737e+05,1.0448415421113449e+05,2.8444460227272731e+02,9.3333333333333335e-01,1.0009523809523809e+01
1.0000000000000001e-01,1.0132116096123660e+05,1.0448415421113449e+05,2.8444460227272731e+02,1.1666666666666667e+00,1.0011904761904763e+01
1.2000000000000000e-01,1.0132039320511617e+05,1.0448415421113449e+05,2.8444460227272731e+02,1.3999999999999999e+00,1.0014285714285714e+01
1.4000000000000001e-01,1.0131962546620582e+05,1.0448415421113449e+05,2.8444460227272731e+02,1.6333333333333333e+00,1.0016666666666667e+01
1.6000000000000000e-01,1.0131885774450524e+05,1.0448415421113449e+05,2.8444460227272731e+02,1.8666666666666667e+00,1.0019047619047619e+01
1.7999999999999999e-01,1.0131809004001413e+05,1.0448415421113449e+05,2.8444460227272731e+02,2.0999999999999996e+00,1.0021428571428572e+01
2.0000000000000001e-01,1.0131732235273220e+05,1.0448415421113449e+05,2.8676669750627809e+02,2.3333333333333335e+00,1.0023809523809524e+01
2.2000000000000000e-01,1.0131655468265913e+05,1.0463672906814321e+05,2.8676669750627809e+02,2.5666666666666664e+00,1.0026190476190477e+01
2.3999999999999999e-01,1.0131578702979468e+05,1.0463672906814321e+05,2.8676669750627809e+02,2.7999999999999998e+00,1.0028571428571428e+01
2.6000000000000001e-01,1.0131501939413851e+05,1.0463672906814321e+05,2.8676669750627809e+02,3.0333333333333332e+00,1.0030952380952382e+01
2.8000000000000003e-01,1.0131425177569035e+05,1.0463672906814321e+05,2.8676669750627809e+02,3.2666666666666666e+00,1.0033333333333333e+01
2.9999999999999999e-01,1.0131348417444990e+05,1.0463672906814321e+05,2.8676669750627809e+02,3.4999999999999996e+00,1.0035714285714286e+01
3.2000000000000001e-01,1.0131271659041684e+05,1.0463672906814321e+05,2.8676669750627809e+02,3.7333333333333334e+00,1.0038095238095238e+01
3.4000000000000002e-01,1.0131194902359089e+05,1.0463672906814321e+05,2.8676669750627809e+02,3.9666666666666668e+00,1.0040476190476191e+01
3.5999999999999999e-01,1.0131118147397177e+05,1.0463672906814321e+05,2.8676669750627809e+02,4.1999999999999993e+00,1.0042857142857143e+01
3.8000000000000000e-01,1.0131041394155916e+05,1.0463672906814321e+05,2.8676669750627809e+02,4.4333333333333336e+00,1.0045238095238096e+01
4.0000000000000002e-01,1.0130964642635277e+05,1.0463672906814321e+05,2.8647168046105980e+02,4.6666666666666670e+00,1.0047619047619047e+01
4.1999999999999998e-01,1.0130887892835235e+05,1.0457461593692360e+05,2.8647168046105980e+02,4.8999999999999995e+00,1.0050000000000001e+01
4.4000000000000000e-01,1.0130811144755755e+05,1.0457461593692360e+05,2.8647168046105980e+02,5.1333333333333329e+00,1.0052380952380952e+01
4.6000000000000002e-01,1.0130734398396808e+05,1.0457461593692360e+05,2.8647168046105980e+02,5.3666666666666663e+00,1.0054761904761905e+01
4.7999999999999998e-01,1.0130657653758366e+05,1.0457461593692360e+05,2.8647168046105980e+02,5.5999999999999996e+00,1.0057142857142857e+01
5.0000000000000000e-01,1.0130580910840399e+05,1.0457461593692360e+05,2.8647168046105980e+02,5.8333333333333330e+00,1.0059523809523810e+01
5.2000000000000002e-01,1.0130504169642879e+05,1.0457461593692360e+05,2.8647168046105980e+02,6.0666666666666664e+00,1.0061904761904762e+01
5.4000000000000004e-01,1.0130427430165774e+05,1.0457461593692360e+05,2.8647168046105980e+02,6.2999999999999998e+00,1.0064285714285715e+01
